wn_synset,wn_definition,wn_ili,wn_members,wn_wd_qid
11975509-n,of central and southwestern Europe,i100055,brook thistle|Cirsium rivulare,Q588939
11975622-n,European thistle with rather large heads and prickly leaves; extensively naturalized as a weed in the United States,i100056,bull thistle|boar thistle|spear thistle|Cirsium vulgare|Cirsium lanceolatum,Q15630402
11976365-n,rhizomatous plant of central and southeastern United States and West Indies having large showy heads of clear blue flowers; sometimes placed in genus Eupatorium,i100060,mistflower|mist-flower|ageratum|Conoclinium coelestinum|Eupatorium coelestinum,Q15548876
11977786-n,large treelike shrub having feathery leaves and clusters of large yellow flower heads; coastal southern California,i100066,giant coreopsis|Coreopsis gigantea,Q4232929
11977983-n,stout herb with flowers one to a stalk; ornamental developed from a Mexican wildflower,i100067,sea dahlia|Coreopsis maritima,Q4232932
11978147-n,North American annual widely cultivated for its yellow flowers with purple-red to brownish centers; in some classifications placed in a subgenus Calliopsis,i100068,calliopsis|Coreopsis tinctoria,Q2631259
11978968-n,South African herb with golden-yellow globose flower heads; naturalized in moist areas along coast of California; cultivated as an ornamental,i100072,brass buttons|Cotula coronopifolia,Q2998623
11980714-n,any of several plants of or developed from the species Dahlia pinnata having tuberous roots and showy rayed variously colored flower heads; native to the mountains of Mexico and Central America and Colombia,i100081,dahlia|Dahlia pinnata,Q1549236
11981142-n,South African succulent evergreen twining climber with yellow flowers grown primarily as a houseplant for its foliage; sometimes placed in genus Senecio,i100083,German ivy|Delairea odorata|Senecio milkanioides,Q2702202
11983774-n,tropical African annual having scarlet tassel-shaped flower heads; sometimes placed in genus Cacalia,i100097,tassel flower|Emilia coccinea|Emilia javanica|Emilia flammea|Cacalia javanica|Cacalia lutea,Q15587313
11984915-n,herb having a basal cluster of grey-green leaves and leafless stalks each with a solitary broad yellow flower head; desert areas Idaho to Arizona,i100102,sunray|Enceliopsis nudicaulis,Q3053763
11985687-n,an American weedy plant with small white or greenish flowers,i100106,fireweed|Erechtites hieracifolia,Q15588334
11987611-n,common perennial of eastern North America having flowers with usually violet-purple rays,i100115,robin's plantain|Erigeron pulchellus,Q5388423
11988347-n,greyish woolly leafy perennial with branched stems ending in leafless stalks bearing golden-yellow flower heads; dry areas western North America,i100119,golden yarrow|Eriophyllum lanatum,Q2592617
11990076-n,hairy South African or Australian subshrub that has daisylike flowers with blue rays,i100127,blue daisy|blue marguerite|Felicia amelloides,Q354211
11990275-n,softly hairy South African herb having flowers with bright blue rays,i100128,kingfisher daisy|Felicia bergeriana,Q15598583
11990767-n,(literally an undutiful herb) a variety of cotton rose,i100131,herba impia|Filago germanica,Q108746821
11991315-n,annual of central United States having showy long-stalked yellow flower heads marked with scarlet or purple in the center,i100134,blanket flower|Indian blanket|fire wheel|fire-wheel|Gaillardia pulchella,Q2701210
11991875-n,decumbent South African perennial with short densely leafy stems and orange flower rays with black eyespots at base,i100137,treasure flower|Gazania rigens,Q775301
11994103-n,perennial gumweed of California and Baja California,i100148,Grindelia robusta,Q5609419
11995026-n,low-growing sticky subshrub of southwestern United States having narrow linear leaves on many slender branches and hundreds of tiny yellow flower heads,i100153,rabbitweed|rabbit-weed|snakeweed|broom snakeweed|broom snakeroot|turpentine weed|Gutierrezia sarothrae,Q15553359
11995357-n,annual of southwestern United States having rigid woody branches with sticky foliage and yellow flowers,i100154,broomweed|broom-weed|Gutierrezia texana,Q19570453
11995723-n,Javanese foliage plant grown for their handsome velvety leaves with violet-purple hairs,i100156,velvet plant|purple velvet plant|royal velvet plant|Gynura aurantiaca,Q9268236
11996127-n,cushion-forming New Zealand herb having leaves densely covered with tawny hairs,i100158,vegetable sheep|sheep plant|Haastia pulvinaris,Q15556408
11996980-n,slender perennial of western North America having weakly bristly leaves and yellow flower heads,i100162,yellow spiny daisy|Haplopappus spinulosus,Q41777651
11998356-n,a sneezeweed of southwestern United States especially southern California,i100169,rosilla|Helenium puberulum,Q5703947
11999020-n,sunflower of eastern North America having narrow leaves and found in bogs,i100172,swamp sunflower|Helianthus angustifolius,Q12212025
11999182-n,annual sunflower grown for silage and for its seeds which are a source of oil; common throughout United States and much of North America,i100173,common sunflower|mirasol|Helianthus annuus,Q171497
11999430-n,very tall American perennial of central and the eastern United States to Canada having edible tuberous roots,i100174,giant sunflower|tall sunflower|Indian potato|Helianthus giganteus,Q12212017
12000184-n,tall perennial with hairy stems and leaves; widely cultivated for its large irregular edible tubers,i100178,Jerusalem artichoke|girasol|Jerusalem artichoke sunflower|Helianthus tuberosus,Q146190
12001944-n,hairy perennial with yellow flower heads in branched clusters; found almost everywhere in dry places from Canada to west central and western United States; sometimes placed in genus Chrysopsis,i100187,hairy golden aster|prairie golden aster|Heterotheca villosa|Chrysopsis villosa,Q15562549
12003014-n,a hawkweed with a rosette of purple-veined basal leaves; Canada to northern Georgia and Kentucky,i100191,rattlesnake weed|Hieracium venosum,Q13919553
12003408-n,rhizomatous herb with purple-red flowers suitable for groundcover; sometimes placed in genus Tussilago,i100193,alpine coltsfoot|Homogyne alpina|Tussilago alpina,Q1815404
12004075-n,similar to but smaller than alpine hulsea,i100196,dwarf hulsea|Hulsea nana,Q5936274
12004613-n,European weed widely naturalized in North America having yellow flower heads and leaves resembling a cat's ears,i100199,cat's-ear|California dandelion|capeweed|gosmore|Hypochaeris radicata,Q421057
12006372-n,small yellow-flowered herb resembling dandelions of central and southeastern United States,i100208,dwarf dandelion|Krigia dandelion|Krigia bulbosa,Q15601446
12008601-n,small slender woolly annual with very narrow opposite leaves and branches bearing solitary golden-yellow flower heads; southwestern Oregon to Baja California and Arizona; often cultivated,i100219,goldfields|Lasthenia chrysostoma,Q50845411
12009065-n,California annual having flower heads with yellow rays tipped with white,i100221,tidytips|tidy tips|Layia platyglossa,Q6505577
12010338-n,tall leafy-stemmed Eurasian perennial with white flowers; widely naturalized; often placed in genus Chrysanthemum,i100228,oxeye daisy|ox-eyed daisy|marguerite|moon daisy|white daisy|Leucanthemum vulgare|Chrysanthemum leucanthemum,Q27164
12010636-n,similar to oxeye daisy,i100229,oxeye daisy|Leucanthemum maximum|Chrysanthemum maximum,Q3020526
12011096-n,perennial of Portugal similar to the oxeye daisy,i100231,Pyrenees daisy|Leucanthemum lacustre|Chrysanthemum lacustre,Q19848891
12011389-n,perennial herb closely resembling European edelweiss; New Zealand,i100233,north island edelweiss|Leucogenes leontopodium,Q15549862
12012018-n,herb with many stems bearing narrow slender wands of crowded rose-lavender flowers; central United States and Canada to Texas and northern Mexico,i100236,dotted gayfeather|Liatris punctata,Q6540315
12012246-n,perennial of southeastern and central United States having very dense spikes of purple flowers; often cultivated for cut flowers,i100237,dense blazing star|Liatris pycnostachya,Q12061156
12013913-n,wild aster having leafy stems and flower heads with narrow bright reddish-lavender or purple rays; western Colorado to Arizona,i100246,sticky aster|Machaeranthera bigelovii,Q21327846
12014996-n,South American herb with sticky glandular foliage; source of madia oil,i100251,melosa|Chile tarweed|madia oil plant|Madia sativa,Q6727680
12015865-n,annual aromatic weed of Pacific coastal areas (United States and northeastern Asia) having bristle-pointed leaves and rayless yellow flowers,i100255,pineapple weed|rayless chamomile|Matricaria matricarioides,Q24851007
12017878-n,common perennial herb widely distributed in the southern and eastern United States having drooping clusters of pinkish flowers and thick basal leaves suggesting a lion's foot in shape; sometimes placed in genus Prenanthes,i100265,lion's foot|gall of the earth|Nabalus serpentarius|Prenanthes serpentaria,Q41778123
12018786-n,musk-scented shrub or tree of southern and southeastern Australia having creamy-yellow flower heads,i100268,muskwood|Olearia argophylla,Q2160632
12018961-n,bushy New Zealand shrub cultivated for its fragrant white flower heads,i100269,New Zealand daisybush|Olearia haastii,Q15586910
12019357-n,biennial Eurasian white hairy thistle having pale purple flowers; naturalized in North America,i100271,cotton thistle|woolly thistle|Scotch thistle|Onopordum acanthium|Onopordon acanthium,Q30166
12021763-n,stout perennial herb of the eastern United States with whitish flowers; leaves traditionally used by Catawba Indians to treat burns,i100282,American feverfew|wild quinine|prairie dock|Parthenium integrifolium,Q7140245
12022176-n,herb of Canary Islands widely cultivated for its blue or purple or red or variegated daisylike flowers,i100284,cineraria|Pericallis cruenta|Senecio cruentus,Q14954851
12022393-n,herb derived from Pericallis cruenta and widely cultivated in a variety of profusely flowering forms with florets from white to pink to red or purple or violet or blue,i100285,Pericallis hybrida|florist's cineraria,Q1494593
12023120-n,European herb with vanilla-scented white-pink flowers,i100288,winter heliotrope|sweet coltsfoot|Petasites fragrans,Q4082537
12024589-n,European hawkweed having soft hairy leaves; sometimes placed in genus Hieracium,i100295,mouse-ear hawkweed|Pilosella officinarum|Hieracium pilocella|Hieracium pilosella,Q15593797
12025456-n,herb of central and southern Europe having purple florets,i100299,rattlesnake root|Prenanthes purpurea,Q849890
12026775-n,perennial prostrate mat-forming herb with hoary woolly foliage,i100306,sheep plant|vegetable sheep|Raoulia lutescens|Raoulia australis,Q49615863
12027399-n,coneflower with flower heads resembling a Mexican hat with a tall red-brown disk and drooping yellow or yellow and red-brown rays; grows in the great plains along base of Rocky Mountains,i100309,Mexican hat|Ratibida columnaris,Q50864117
12027665-n,plant similar to the Mexican hat coneflower; from British Columbia to New Mexico,i100310,long-head coneflower|prairie coneflower|Ratibida columnifera,Q7295703
12027875-n,coneflower of central to southwestern United States,i100311,prairie coneflower|Ratibida tagetes,Q15601027
12028956-n,the state flower of Maryland; of central and southeastern United States; having daisylike flowers with dark centers and yellow to orange rays,i100316,black-eyed Susan|Rudbeckia hirta|Rudbeckia serotina,Q104247213
12029889-n,branching aromatic Mediterranean shrub with woolly stems and leaves and yellow flowers,i100320,lavender cotton|Santolina chamaecyparissus,Q1543811
12030657-n,annual herb of the eastern Himalayas (Kashmir) having purple florets and a fragrant root that yields a volatile oil used in perfumery and for preserving furs,i100324,costusroot|Saussurea costus|Saussurea lappa,Q18774030
12031284-n,a golden thistle of southwestern Europe cultivated for its edible sweet roots and edible leaves and stalks; its yellow flowers are used as a substitute for saffron,i100327,Spanish oyster plant|Scolymus hispanicus,Q1403748
12031839-n,plant with erect leafy stems bearing clusters of rayless yellow flower heads on bent individual stalks; moist regions of southwestern United States,i100329,nodding groundsel|Senecio bigelovii,Q15592098
12032979-n,perennial with sharply toothed triangular leaves on leafy stems bearing a cluster of yellow flower heads; moist places in mountains of western North America,i100334,arrowleaf groundsel|Senecio triangularis,Q2465957
12034824-n,plants of western and northern European coasts,i100343,sea wormwood|Seriphidium maritimum|Artemisia maritima,Q15562228
12035690-n,North American perennial having a resinous odor and yellow flowers,i100348,rosinweed|Silphium laciniatum,Q1780806
12037036-n,large North American goldenrod having showy clusters of yellow flowers on arching branches; often a weed,i100354,meadow goldenrod|Canadian goldenrod|Solidago canadensis,Q254436
12037246-n,similar to meadow goldenrod but usually smaller,i100355,Missouri goldenrod|Solidago missouriensis,Q7557954
12037383-n,goldenrod similar to narrow goldenrod but having bristly hairs on edges of leaf stalks; mountainous regions of western America,i100356,alpine goldenrod|Solidago multiradiata,Q13953922
12037795-n,goldenrod of eastern America having aromatic leaves from which a medicinal tea is made,i100358,Blue Mountain tea|sweet goldenrod|Solidago odora,Q15566381
12037980-n,eastern North American herb whose yellow flowers are (or were) used in dyeing,i100359,dyer's weed|Solidago rugosa,Q3020839
12038133-n,vigorous showy goldenrod common along eastern coast and Gulf Coast of North America,i100360,seaside goldenrod|beach goldenrod|Solidago sempervirens,Q7557963
12040653-n,erect perennial of southeastern United States having large heads of usually blue flowers,i100377,stokes' aster|cornflower aster|Stokesia laevis,Q1436235
12041410-n,strong-scented bushy annual with orange or yellow flower heads marked with red; Mexico and Guatemala,i100381,French marigold|Tagetes patula,Q644934
12042351-n,densely hairy plant with rayless flowers; San Francisco Bay area,i100384,camphor dune tansy|Tanacetum camphoratum,Q7682196
12042523-n,spring-flowering garden perennial of Asiatic origin having finely divided aromatic leaves and white to pink-purple flowers; source of an insecticide; sometimes placed in genus Chrysanthemum,i100385,painted daisy|pyrethrum|Tanacetum coccineum|Chrysanthemum coccineum,Q852073
12043290-n,lightly hairy rhizomatous perennial having aromatic feathery leaves and stems bearing open clusters of small buttonlike yellow flowers; sand dunes of Pacific coast of North America,i100388,northern dune tansy|Tanacetum douglasii,Q59262587
12043876-n,shrubby perennial of the Canary Islands having white flowers and leaves and hairy stems covered with dustlike down; sometimes placed in genus Chrysanthemum,i100390,dusty miller|silver-lace|silver lace|Tanacetum ptarmiciflorum|Chrysanthemum ptarmiciflorum,Q7682199
12044914-n,Eurasian plant widely naturalized as a weed in North America; used as salad greens and to make wine,i100394,common dandelion|Taraxacum ruderalia|Taraxacum officinale,Q131219
12045689-n,perennial having tufted basal leaves and short leafless stalks each bearing a solitary yellow flower head; dry hillsides and plains of west central North America,i100398,stemless hymenoxys|Tetraneuris acaulis|Hymenoxys acaulis,Q7706616
12045976-n,whitish hairy plant with featherlike leaves and a few stout stems each bearing an especially handsome solitary large yellow flower head; mountainous regions north central United States,i100399,old man of the mountain|alpine sunflower|Tetraneuris grandiflora|Hymenoxys grandiflora,Q67193838
12047450-n,European perennial naturalized throughout United States having hollow stems with a few long narrow tapered leaves and each bearing a solitary pale yellow flower,i100405,yellow salsify|Tragopogon dubius,Q1548650
12048127-n,weedy European annual with yellow flowers; naturalized in United States,i100408,meadow salsify|goatsbeard|shepherd's clock|Tragopogon pratensis,Q1345772
12048481-n,perennial of southeastern United States with leaves having the fragrance of vanilla,i100410,wild vanilla|Trilisa odoratissima,Q21307444
12048893-n,ubiquitous European annual weed with white flowers and finely divided leaves naturalized and sometimes cultivated in eastern North America; sometimes included in genus Matricaria,i100412,scentless camomile|scentless false camomile|scentless mayweed|scentless hayweed|corn mayweed|Tripleurospermum inodorum|Matricaria inodorum,Q19848986
12049287-n,mat-forming perennial herb of Asia Minor; sometimes included in genus Matricaria,i100413,turfing daisy|Tripleurospermum oreades tchihatchewii|Matricaria oreades,Q109732821
12049508-n,low densely tufted perennial herb of Turkey having small white flowers; used as a ground cover in dry places; sometimes included in genus Matricaria,i100414,turfing daisy|Tripleurospermum tchihatchewii|Matricaria tchihatchewii,Q50874346
12051377-n,perennial herb with showy yellow flowers; the eastern United States,i100422,wingstem|golden ironweed|yellow ironweed|golden honey plant|Verbesina alternifolia|Actinomeris alternifolia,Q11933237
12051857-n,perennial herb with yellow flowers; southern and south central United States,i100424,gravelweed|Verbesina helianthoides,Q15563301
12052016-n,tall perennial herb having clusters of white flowers; the eastern United States,i100425,Virginia crownbeard|frostweed|frost-weed|Verbesina virginica,Q15564201
12052898-n,balsamic-resinous herb with clumps of lanceolate leaves and stout leafy stems ending in large deep yellow flowers on long stalks; northwestern United States,i100429,mule's ears|Wyethia amplexicaulis,Q15571724
12053155-n,herb with basal leaves and leafy hairy stems bearing solitary flower heads with white or pale cream-colored rays; northwestern United States,i100430,white-rayed mule's ears|Wyethia helianthoides,Q15572520
12054178-n,mostly widely cultivated species of everlasting flowers having usually purple flowers; southern Europe to Iran; naturalized elsewhere,i100435,immortelle|Xeranthemum annuum,Q2054752
12054853-n,subshrub with slender woolly stems and long narrow leaves and flower heads with white rays; southern United States and northern Mexico,i100438,white zinnia|Zinnia acerosa,Q979508
12055063-n,subshrub having short leafy stems and numerous small flower heads with nearly round yellow-orange rays; Arizona south to Mexico and east to Kansas,i100439,little golden zinnia|Zinnia grandiflora,Q3025716
12057968-n,erect European herb with creeping rootstocks and nodding spikelike racemes of blue to violet flowers,i100453,creeping bellflower|Campanula rapunculoides,Q341547
12058333-n,bellflower of southeastern United States (Maryland to Georgia) having pale blue flowers,i100455,southern harebell|Campanula divaricata,Q15600342
12058875-n,bellflower of Europe to temperate Asia having dense spikes of violet-blue to white flowers,i100458,clustered bellflower|Campanula glomerata,Q158045
12059054-n,perennial European bellflower with racemose white or blue flowers,i100459,peach bells|peach bell|willow bell|Campanula persicifolia,Q790170
12059229-n,bellflower of southeastern Europe,i100460,chimney plant|chimney bellflower|Campanula pyramidalis,Q2119769
12059591-n,European bellflower with blue-purple to lilac flowers formerly used to treat sore throat,i100462,throatwort|nettle-leaved bellflower|Campanula trachelium,Q776583
12066497-n,a bog orchid with usually a solitary fragrant magenta pink blossom with a wide gaping corolla; Canada,i100482,bog rose|wild pink|dragon's mouth|Arethusa bulbosa,Q15111652
12068353-n,South American orchid with spiderlike pale-yellow to pale-green flowers,i100491,spider orchid|Brassia lawrenceana,Q109509683
12068525-n,Central American orchid having spiderlike flowers with prominent green warts,i100492,spider orchid|Brassia verrucosa,Q4957942
12070031-n,rare north temperate bog orchid bearing a solitary white to pink flower marked with purple at the tip of an erect reddish stalk above 1 basal leaf,i100501,calypso|fairy-slipper|Calypso bulbosa,Q1141063
12070483-n,orchid having both male and female flowers in the same raceme; when a sensitive projection at the base of the column of the male flower is touched the pollen is suddenly ejected,i100503,jumping orchid|Catasetum macrocarpum,Q1595747
12071983-n,orchid of northeastern United States with magenta-pink flowers having funnel-shaped lip; sometimes placed in genus Pogonia,i100510,spreading pogonia|funnel-crest rosebud orchid|Cleistes divaricata|Pogonia divaricata,Q15287920
12072736-n,orchid with broad ovate leaves and long-bracted green very irregular flowers,i100513,satyr orchid|Coeloglossum bracteatum,Q49426376
12072916-n,orchid having hooded long-bracted green to yellow-green flowers suffused with purple,i100514,frog orchid|Coeloglossum viride,Q22782964
12074431-n,nearly leafless wildflower with erect reddish-purple stems bearing racemes of pale pinkish and brownish-striped flowers; western Canada to Mexico,i100520,striped coral root|Corallorhiza striata,Q5169619
12074664-n,plant having clumps of nearly leafless pale yellowish to greenish stems bearing similarly colored flowers with white lower lips; northern New Mexico north through South Dakota and Washington to Alaska,i100521,early coral root|pale coral root|Corallorhiza trifida,Q157971
12077259-n,pale pink wild orchid of northeastern America having an inflated pouchlike lip,i100532,common lady's-slipper|showy lady's-slipper|showy lady slipper|Cypripedium reginae|Cypripedium album,Q977605
12077491-n,orchid of northern North America having a brownish-green flower and red-and-white lip suggestive of a ram's head,i100533,ram's-head|ram's-head lady's slipper|Cypripedium arietinum,Q1306340
12078396-n,clusters of several short stems each having 2 broad leaves and 2-4 drooping brownish to greenish flowers with pouches mottled with purple; British Columbia to central California and northern Colorado,i100537,clustered lady's slipper|Cypripedium fasciculatum,Q1021762
12079323-n,European orchid having lanceolate leaves spotted purple and pink to white or mauve flowers spotted or lined deep red or purple,i100541,common spotted orchid|Dactylorhiza fuchsii|Dactylorhiza maculata fuchsii,Q637526
12081605-n,Mexican epiphytic orchid with glaucous grey-green leaves and lemon- to golden-yellow flowers appearing only partially opened; sometimes placed in genus Cattleya,i100551,tulip orchid|Encyclia citrina|Cattleya citrina,Q5375639
12082115-n,Mexican epiphytic orchid having pale green or yellow-green flowers with white purple-veined lip,i100553,butterfly orchid|butterfly orchis|Epidendrum venosum|Encyclia venosa,Q109521235
12083127-n,European orchid with spikes of green and pinkish or purplish flowers,i100558,Epipactis helleborine,Q157426
12085092-n,similar to Gymnadenia conopsea but with smaller flowers on shorter stems and having much shorter spurs,i100567,short-spurred fragrant orchid|Gymnadenia odoratissima,Q161314
12086952-n,slender inland rein orchid similar to coastal rein orchid but with pale greenish-yellow flowers,i100575,elegant Habenaria|Habenaria elegans,Q41474510
12087322-n,stout orchid of central California to northern Washington having racemes of white fragrant bilaterally symmetrical flowers,i100577,coastal rein orchid|Habenaria greenei,Q109524690
12087934-n,orchid of boggy or wet lands of north central United States having racemes of very fragrant creamy or greenish white flowers,i100580,prairie orchid|prairie white-fringed orchis|Habenaria leucophaea,Q109524758
12088173-n,slender fringed orchid of eastern North America having white flowers,i100581,snowy orchid|Habenaria nivea,Q109524901
12088318-n,orchid having a raceme of large greenish-white flowers on a single flower stalk growing between two elliptic or round basal leaves lying on the ground; from northern Oregon and Montana across Canada to the eastern United States,i100582,round-leaved rein orchid|Habenaria orbiculata,Q115861488
12089510-n,orchid with yellowish-brown flowers with dark veins; southeastern Arizona to the eastern United States,i100587,crested coral root|Hexalectris spicata,Q15467564
12090180-n,an orchid of the genus Himantoglossum,i100590,lizard orchid|Himantoglossum hircinum,Q159296
12091760-n,small orchid with two elliptic leaves and a slender raceme of small green flowers; western North America,i100598,broad-leaved twayblade|Listera convallarioides,Q15502015
12091978-n,orchid having two triangular leaves and a short lax raceme of green to rust-colored flowers with the lip flushed mauve; Europe and Asia and North America and Greenland,i100599,lesser twayblade|Listera cordata,Q157891
12092711-n,North American orchid having a solitary leaf and flowers with threadlike petals,i100602,green adder's mouth|Malaxis ophioglossoides|Malaxis unifolia,Q109476478
12095368-n,European orchid whose flowers resemble bumble bees in shape and color,i100614,bee orchid|Ophrys apifera,Q159291
12098445-n,south European orchid having fragrant greenish-white flowers; sometimes placed in genus Habenaria,i100629,lesser butterfly orchid|Platanthera bifolia|Habenaria bifolia,Q157433
12104348-n,an orchid of the genus Spiranthes having tall erect densely flowered spiraling clusters of creamy white vanilla-scented flowers; widely distributed especially in low damp places of eastern and central North America,i100657,screw augur|Spiranthes cernua,Q1152261
12105072-n,European orchid having shorter racemes of strongly spiraling snow-white flowers,i100660,European ladies' tresses|Spiranthes spiralis,Q159283
12107295-n,a climbing orchid bearing a podlike fruit yielding vanilla beans; widely cultivated from Florida southward throughout tropical America,i100672,vanilla orchid|Vanilla planifolia,Q7224923
12109837-n,having a rhizome formerly dried and used to treat rheumatism or liver disorders,i100685,wild yam|Dioscorea paniculata,Q50839860
12110013-n,tropical American yam with small yellow edible tubers,i100686,cush-cush|Dioscorea trifida,Q5279597
12111730-n,plant of western and southern Europe widely cultivated for its pale yellow flowers,i100693,English primrose|Primula vulgaris,Q159537
12113846-n,Mediterranean plant widely cultivated as a houseplant for its showy dark green leaves splotched with silver and nodding white or pink to reddish flowers with reflexed petals,i100706,cyclamen|Cyclamen purpurascens,Q149344
12114117-n,common wild European cyclamen with pink flowers,i100707,sowbread|Cyclamen hederifolium|Cyclamen neopolitanum,Q1965935
12114918-n,a featherfoil of the eastern United States with submerged spongy inflated flower stalks and white flowers,i100712,water gillyflower|American featherfoil|Hottonia inflata,Q3141217
12116606-n,common North American yellow-flowered plant,i100722,whorled loosestrife|Lysimachia quadrifolia,Q6710201
12117080-n,water pimpernel of Europe to China,i100725,brookweed|Samolus valerandii,Q111528911
12117191-n,American water pimpernel,i100726,brookweed|Samolus parviflorus|Samolus floribundus,Q19847450
12118073-n,tropical American shrub or small tree with brown wood and dark berries,i100731,marlberry|Ardisia escallonoides|Ardisia paniculata,Q49426613
12119041-n,a plant of the genus Plumbago with blue flowers,i100736,leadwort|Plumbago europaea,Q1418304
12120489-n,small West Indian shrub or tree with hard glossy seeds patterned yellow and brown that are used to make bracelets,i100744,bracelet wood|Jacquinia armillaris,Q15345112
12120704-n,West Indian shrub or small tree having leathery saponaceous leaves and extremely hard wood,i100745,barbasco|joewood|Jacquinia keyensis,Q15345269
12126095-n,European grass spreading rapidly by creeping rhizomes; naturalized in North America as a weed,i100763,dog grass|couch grass|quackgrass|quack grass|quick grass|witch grass|witchgrass|Agropyron repens,Q87622596
12126345-n,a wheatgrass with straight terminal awns on the flowering glumes,i100764,bearded wheatgrass|Agropyron subsecundum,Q85191663
12126651-n,Asiatic grass introduced into United States rangelands for pasture and fodder,i100766,intermediate wheatgrass|Agropyron intermedium|Elymus hispidus,Q15510647
12126840-n,North American grass cultivated in western United States as excellent forage crop,i100767,slender wheatgrass|Agropyron trachycaulum|Agropyron pauciflorum|Elymus trachycaulos,Q87622248
12127519-n,common grass with slender stems and narrow leaves,i100770,velvet bent|velvet bent grass|brown bent|Rhode Island bent|dog bent|Agrostis canina,Q159182
12127708-n,Spanish grass with light feathery panicles grown for dried bouquets,i100771,cloud grass|Agrostis nebulosa,Q4694285
12127853-n,common pasture or lawn grass spread by long runners,i100772,creeping bent|creeping bentgrass|Agrostis palustris,Q9591119
12128227-n,stout erect perennial grass of northern parts of Old World having silky flowering spikes; widely cultivated for pasture and hay; naturalized in North America,i100774,meadow foxtail|Alopecurus pratensis,Q157346
12129388-n,coarse perennial Eurasian grass resembling oat; found on roadside verges and rough grassland and in hay meadows; introduced in North America for forage,i100780,tall oat grass|tall meadow grass|evergreen grass|false oat|French rye|Arrhenatherum elatius,Q159815
12132261-n,grass of Mediterranean and temperate Asia,i100796,Japanese brome|Japanese chess|Bromus japonicus,Q164429
12132736-n,a pasture grass of western North America,i100799,blue grama|Bouteloua gracilis,Q2922605
12132854-n,a pasture grass (especially of western coastal regions of North America),i100800,black grama|Bouteloua eriopoda,Q4543400
12134307-n,grass of the eastern United States and tropical America having spikelets enclosed in prickly burs,i100809,sandbur|sandspur|field sandbur|Cenchrus tribuloides,Q15512258
12135107-n,perennial grass of South Africa introduced into United States; cultivated as forage grass in dry regions,i100813,Rhodes grass|Chloris gayana,Q3133411
12136265-n,trailing grass native to Europe now cosmopolitan in warm regions; used for lawns and pastures especially in southern United States and India,i100819,Bermuda grass|devil grass|Bahama grass|kweek|doob|scutch grass|star grass|Cynodon dactylon,Q208705
12137752-n,"a weed, a low-growing, summer annual grass that spreads by seed and from rooting of the lowest joints of the stems (Digitaria ischaemum)",i100827,smooth crabgrass|Digitaria ischaemum,Q159824
12140234-n,North American wild rye,i100840,Canada wild rye|Elymus canadensis,Q5368479
12141095-n,perennial South African grass having densely clumped flimsy stems; introduced into United States especially for erosion control,i100845,weeping love grass|African love grass|Eragrostis curvula,Q5384814
12141704-n,grass often cultivated for its long white-ribbed leaves and large plumes resembling those of pampas grass,i100848,Ravenna grass|wool grass|Erianthus ravennae,Q50828970
12142127-n,grass with wide flat leaves cultivated in Europe and America for permanent pasture and hay and for lawns,i100850,fescue|fescue grass|meadow fescue|Festuca elatior,Q3744284
12142959-n,a pasture grass of moist places throughout North America,i100855,reed meadow grass|Glyceria grandis,Q5572533
12144689-n,annual barley native to western North America and widespread in southern United States and tropical America,i100865,little barley|Hordeum pusillum,Q4117447
12145518-n,European grass much used for hay and in United States also for turf and green manure,i100870,Italian ryegrass|Italian rye|Lolium multiflorum,Q157883
12147033-n,valuable forage grass of dry upland areas and plains of western North America to northern Mexico,i100879,mountain rice|silkgrass|silk grass|Indian millet|Oryzopsis hymenoides,Q24700467
12147253-n,perennial mountain rice native to Mediterranean region and introduced into North America,i100880,smilo|smilo grass|Oryzopsis miliacea,Q12213301
12147977-n,grass of western America used for hay,i100884,switch grass|Panicum virgatum,Q1466543
12149342-n,tall grass having cattail like spikes; grown in Africa and Asia for its grain and in the United States chiefly for forage; sometimes used in making beer,i100892,pearl millet|bulrush millet|cattail millet|Pennisetum glaucum|Pennisetum Americanum,Q654332
12149651-n,tall perennial ornamental grass with long nodding flower plumes of tropical Africa and Asia,i100893,fountain grass|Pennisetum ruppelii|Pennisetum setaceum,Q3899117
12150503-n,Canary Islands grass; seeds used as feed for caged birds,i100897,canary grass|birdseed grass|Phalaris canariensis,Q2086586
12150677-n,perennial grass of Australia and South Africa; introduced in North America as forage grass,i100898,hardinggrass|Harding grass|toowomba canary grass|Phalaris aquatica|Phalaris tuberosa,Q28936185
12154199-n,tall grass with smooth bluish leaf sheaths grown for hay in the United States,i100915,bluestem|blue stem|Andropogon furcatus|Andropogon gerardii,Q50826585
12155353-n,common weedy and bristly grass found in nearly all temperate areas,i100921,yellow bristlegrass|yellow bristle grass|yellow foxtail|glaucous bristlegrass|Setaria glauca,Q12212708
12155566-n,European foxtail naturalized in North America; often a troublesome weed,i100922,green bristlegrass|green foxtail|rough bristlegrass|bottle-grass|bottle grass|Setaria viridis,Q163052
12160310-n,tall reedlike grass common in salt meadows,i100946,salt reed grass|Spartina cynosuroides,Q7573948
12161276-n,erect smooth grass of sandy places in eastern North America,i100951,sand dropseed|Sporobolus cryptandrus,Q7579242
12163391-n,widely cultivated in temperate regions in many varieties for its commercially important grain,i100962,common wheat|Triticum aestivum,Q161098
